labels,peaks,centers,variance,SNR,BW
0,1.5847336819,[1311],0.006273773626690827,0.2986247717440308,[192]
0,1.2108432394,[1429],0.006276600437087899,0.2857817572471634,[206]
0,1.4951577169,[1351],0.006078482953891342,0.365218458523143,[260]
1,1.6757608797,[1532],0.006393063494445533,0.2288003874793747,[182]
1,2.1486888129,[1632],0.006392741357082503,0.22163277492627528,[262]
0,1.4069973922,[1373],0.006291656577710296,0.2867975547466466,[233]
0,1.3847889306,[1253],0.00622660395021399,0.3252921626470567,[180]
0,1.684511835,[1312],0.006361257617488653,0.2619415006010227,[198]
0,1.7159846375,[1321],0.006342403700428149,0.2688009492407747,[182]
1,1.2380306162,[1331],0.006164825488954723,0.33822741748460416,[229]
1,1.2519655013,[1368],0.006113877954172913,0.3532530789156899,[292]
1,1.0539616007,[1180],0.006177440018510827,0.35467091610913576,[218]
1,0.9061749473,[1343],0.0061094279373152295,0.3567637956512809,[222]
1,1.0819034655,[1278],0.006064918461687075,0.38209060264107264,[269]
1,1.0478891943,[1226],0.0061148071090281544,0.3713595073513151,[231]
0,1.4039616448,[1501],0.006294156679425573,0.2728015230672737,[247]
1,1.4982203881,[1725],0.006322687314712963,0.2417230957041184,[255]
0,1.7712788403,[1267],0.006319073019592267,0.2850017973170062,[255]
0,1.5904963775,[1087],0.006327021858689608,0.30453465866727925,[139]
0,1.9220994933,[1193],0.0062716788201522,0.3146335032180901,[258]
1,1.0696385615,[1285],0.006191239033027228,0.33345991852641016,[212]
1,1.2375627542,[1353],0.0061547822883913925,0.3381703335308033,[231]
1,1.0674917631,[1261],0.006186124483145008,0.3386017252385349,[216]
0,1.667360821,[1362],0.006336566908100956,0.26727797404938547,[222]
0,1.403321836,[1346],0.006347368151008392,0.2637315350221353,[150]
0,1.2971874857,[1420],0.006303488071645447,0.2755885492013351,[208]
0,1.5230809572,[1461],0.006317619183418868,0.26446092712424774,[220]
0,1.4922908449,[1463],0.006353835551381555,0.2515430133917563,[233]
1,1.0917123374,[1121],0.006124968874092065,0.38440996092180146,[209]
0,1.3734212649,[1325],0.006359486201051424,0.25943432640129593,[175]
0,1.932695661,[1377],0.0063944506537579595,0.24290217971988928,[184]
0,1.6164356838,[1342],0.0063599296719530395,0.2597097870044039,[183]
1,1.9374217063,[1438],0.006257208167975867,0.2920024040726309,[373]
1,1.3525085607,[1840],0.006308144384271506,0.24058118391879643,[251]
1,1.3815329331,[1688],0.0063890466814565975,0.21974390245252273,[235]
0,1.5962742647,[1335],0.006274882115088651,0.29613369563820646,[232]
0,1.4619581851,[1515],0.006329133257951113,0.2565713990154344,[224]
1,1.4216256871,[1609],0.006230603023092382,0.28559412920968613,[278]
1,1.0392834206,[1847],0.006267391902384997,0.25323468814727473,[286]
1,1.1647062777,[1531],0.006286572918649371,0.2726744478221663,[185]
0,1.6231538781,[1372],0.006159806436362788,0.33556041053770136,[305]
0,1.769099351,[1288],0.006365424977583811,0.26274849445024306,[204]
0,2.0309280564,[1287],0.006363302410502753,0.26145152053975024,[212]
1,1.3077138568,[1330],0.006293955715158612,0.2894131137980224,[228]
1,1.3665511429,[1335],0.006161961870968091,0.3413178117723844,[225]
0,1.3697488629,[1606],0.006097124848927539,0.33015569336560696,[253]
0,1.3836521074,[1204],0.006329725497914257,0.2872737804773951,[182]
0,1.6241732377,[1355],0.006305130281610543,0.2815993033680179,[237]
1,1.799931226,[1536],0.006340354538570878,0.2504472805863579,[245]
1,2.0433209155,[1349],0.006295681655454273,0.28612400671027777,[193]
1,1.5086206544,[1344],0.006297562375344849,0.28610861866320364,[218]
0,1.3995981355,[1362],0.006230892150087711,0.3104447395785632,[226]
0,1.1432280502,[1473],0.006198850342820811,0.3096419302582795,[305]
0,1.5388834871,[1326],0.006170718269012886,0.3371356521214699,[273]
1,1.4503502267,[1208],0.006257554430874997,0.3186042996872334,[6]
1,1.39010868,[1755],0.006256483605979233,0.2646712705734718,[420]
1,1.5671700158,[1424],0.006293751744687877,0.2788933811078997,[284]
1,1.9731321645,[1571],0.00623384127994354,0.2881578509921393,[218]
1,1.5700625623,[1388],0.006284908638276518,0.28547127565398406,[220]
1,1.2738093254,[1410],0.0062775898466385475,0.2869010630393222,[248]
1,1.3291244463,[1758],0.006179735610586258,0.28854925157520805,[348]
